trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.97, 'e': 0.03299394437021771}",25,20,10.659068916433643,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.97, 'e': 0.03200412603911118}",25,13,23.79568002805476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.97, 'e': 0.031044002257937842}",20,8,22.402238026134143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.97, 'e': 0.030112682190199705}",30,23,13.970920797705613,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.97, 'e': 0.02920930172449371}",20,0,16.436134767029746,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.97, 'e': 0.0283330226727589}",25,18,12.008171426765184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.97, 'e': 0.027483031992576134}",25,11,17.978043971741158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.97, 'e': 0.026658541032798848}",25,17,15.856929593468873,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.97, 'e': 0.02585878480181488}",20,16,6.4811348078646684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.97, 'e': 0.025083021257760435}",20,16,8.198029455863052,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.97, 'e': 0.024330530620027623}",25,7,30.199323065266142,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.97, 'e': 0.02360061470142679}",25,6,30.299460707494525,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.97, 'e': 0.022892596260383986}",20,11,17.660505842355697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.97, 'e': 0.022205818372572468}",30,5,39.135283824131314,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.97, 'e': 0.021539643821395293}",25,13,19.61456338810813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.97, 'e': 0.020893454506753433}",30,16,9.217867076777942,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.97, 'e': 0.02026665087155083}",25,17,12.81198784703525,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.97, 'e': 0.019658651345404305}",20,13,15.308787531202952,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.97, 'e': 0.019068891805042173}",30,10,30.53313799752967,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.97, 'e': 0.018496825050890908}",25,16,16.86484546317465,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.97, 'e': 0.01794192029936418}",30,17,23.851015935904126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.97, 'e': 0.017403662690383254}",20,16,7.477957749118555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.97, 'e': 0.016881552809671758}",25,12,17.23636976029569,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.97, 'e': 0.016375106225381603}",30,17,2.5907709500496505,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.97, 'e': 0.015883853038620156}",20,10,17.393946979293013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.97, 'e': 0.01540733744746155}",20,10,20.703686117039027,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.97, 'e': 0.014945117324037704}",25,20,11.573970987778644,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.97, 'e': 0.014496763804316573}",20,10,19.429005943152447,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.97, 'e': 0.014061860890187074}",30,17,23.77204389985746,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.97, 'e': 0.013640005063481462}",20,12,15.415675109836757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.97, 'e': 0.013230804911577018}",20,14,11.633646373481865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.97, 'e': 0.012833880764229706}",25,17,13.459568839520754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.97, 'e': 0.012448864341302815}",20,4,29.729875988976403,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.97, 'e': 0.01207539841106373}",25,15,20.037275449972483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.97, 'e': 0.011713136458731817}",30,9,31.89823335231397,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.97, 'e': 0.011361742364969863}",30,10,12.779072441960107,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.97, 'e': 0.011020890094020767}",25,0,37.061338192383666,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.97, 'e': 0.010690263391200144}",25,13,23.68791114415055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.97, 'e': 0.010369555489464138}",30,14,28.498409527110617,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.97, 'e': 0.010058468824780216}",20,2,27.43449977355925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.97, 'e': 0.009756714760036807}",20,10,19.301370834723777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.97, 'e': 0.009464013317235703}",25,14,24.107111849455436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.97, 'e': 0.009180092917718633}",20,1,30.248877538082247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.97, 'e': 0.008904690130187073}",30,6,38.56485155901508,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.97, 'e': 0.008637549426281461}",25,10,28.155239800207987,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.97, 'e': 0.008378422943493016}",25,7,-7.399872802505788,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.97, 'e': 0.008127070255188227}",20,16,7.676003494609183,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.97, 'e': 0.007883258147532579}",20,12,13.737769876470736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.97, 'e': 0.007646760403106601}",20,14,12.821573033689987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
