trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
312,False,"{'a': 0.005, 'e': 0.21013607120076472}",30,20,9.905354961351673,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.005, 'e': 0.20908801317328293}",20,8,11.556834695441543,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.005, 'e': 0.20804518235702046}",35,14,17.513506515624417,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.005, 'e': 0.20700755268115265}",25,15,11.75168304889134,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.005, 'e': 0.20597509820488344}",35,10,-24.083258396976262,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
317,False,"{'a': 0.005, 'e': 0.2049477931167973}",20,8,8.79376949585753,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.005, 'e': 0.20392561173421342}",20,1,-31.615241786293524,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
319,False,"{'a': 0.005, 'e': 0.20290852850254407}",20,6,25.570922063571683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.005, 'e': 0.20189651799465538}",25,18,12.636754855272658,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.005, 'e': 0.20088955491023208}",30,14,11.74193581820899,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.005, 'e': 0.1998876140751445}",20,10,10.145002599034246,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.005, 'e': 0.19889067044081962}",25,19,11.499277897264543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.005, 'e': 0.19789869908361465}",20,12,14.397809425549973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.005, 'e': 0.19691167520419406}",35,24,20.159045731019816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.005, 'e': 0.19592957412690934}",20,2,14.25212564142396,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.005, 'e': 0.1949523712991825}",30,16,-0.5725308565246188,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
328,False,"{'a': 0.005, 'e': 0.19398004229089189}",25,11,1.789445333960434,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
329,False,"{'a': 0.005, 'e': 0.19301256279376172}",20,0,-3.3729468945431655,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
330,False,"{'a': 0.005, 'e': 0.19204990862075408}",30,10,9.51023186884752,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
331,False,"{'a': 0.005, 'e': 0.19109205570546464}",20,7,12.755919321272778,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
332,False,"{'a': 0.005, 'e': 0.1901389801015205}",25,11,-29.311454849215075,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
333,False,"{'a': 0.005, 'e': 0.18919065798198204}",30,15,-5.2348723155920105,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
334,False,"{'a': 0.005, 'e': 0.1882470656387468}",25,13,-38.40646511089505,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
335,False,"{'a': 0.005, 'e': 0.18730817948195702}",25,16,-34.52969106135629,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
336,False,"{'a': 0.005, 'e': 0.18637397603940997}",30,15,-21.70474895745549,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
337,False,"{'a': 0.005, 'e': 0.18544443195597088}",20,11,3.5235237227741987,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.005, 'e': 0.18451952399298926}",20,11,15.898848259928467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.005, 'e': 0.18359922902771786}",20,14,9.748536300847734,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.005, 'e': 0.18268352405273466}",20,10,14.767120451193742,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.005, 'e': 0.1817723861753675}",30,13,16.820823420514078,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.005, 'e': 0.1808657926171221}",30,6,-32.42170032409991,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
343,False,"{'a': 0.005, 'e': 0.17996372071311217}",30,13,-103.01343585900301,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 3}",1
